state,lat,long,confirmed,recovered,deaths,updated
Aguascalientes,21.8853,-102.2916,26695,0,2456,2021/06/22 05:21:12+00
Baja California,30.8406,-115.2838,50286,0,8649,2021/06/22 05:21:12+00
Baja California Sur,26.0444,-111.6661,36319,0,1486,2021/06/22 05:21:12+00
Campeche,19.8301,-90.5349,11099,0,1267,2021/06/22 05:21:12+00
Chiapas,16.7569,-93.1292,12063,0,1656,2021/06/22 05:21:12+00
Chihuahua,28.633,-106.0691,57486,0,7493,2021/06/22 05:21:12+00
Ciudad de Mexico,19.4326,-99.1332,673666,0,34461,2021/06/22 05:21:12+00
Coahuila,27.0587,-101.7068,69397,0,6376,2021/06/22 05:21:12+00
Colima,19.1223,-104.0072,12208,0,1210,2021/06/22 05:21:12+00
Durango,24.5593,-104.6588,34588,0,2495,2021/06/22 05:21:12+00
Guanajuato,21.019,-101.2574,132655,0,11079,2021/06/22 05:21:12+00
Guerrero,17.4392,-99.5451,41610,0,4549,2021/06/22 05:21:12+00
Hidalgo,20.0911,-98.7624,39378,0,6268,2021/06/22 05:21:12+00
Jalisco,20.6595,-103.3494,88151,0,12607,2021/06/22 05:21:12+00
Mexico,19.4969,-99.7233,256712,0,37212,2021/06/22 05:21:12+00
Michoacan,19.5665,-101.7068,49066,0,5941,2021/06/22 05:21:12+00
Morelos,18.6813,-99.1013,34218,0,3550,2021/06/22 05:21:12+00
Nayarit,21.7514,-104.8455,12535,0,1868,2021/06/22 05:21:12+00
Nuevo Leon,25.5922,-99.9962,126088,0,9692,2021/06/22 05:21:12+00
Oaxaca,17.0732,-96.7266,47969,0,3898,2021/06/22 05:21:12+00
Puebla,19.0414,-98.2063,85952,0,12173,2021/06/22 05:21:12+00
Queretaro,20.5888,-100.3899,69570,0,4452,2021/06/22 05:21:12+00
Quintana Roo,19.1817,-88.4791,30733,0,2946,2021/06/22 05:21:12+00
San Luis Potosi,22.1565,-100.9855,65045,0,5428,2021/06/22 05:21:12+00
Sinaloa,25.1721,-107.4795,41039,0,6362,2021/06/22 05:21:12+00
Sonora,29.2972,-110.3309,77872,0,6739,2021/06/22 05:21:12+00
Tabasco,17.8409,-92.6189,73707,0,4236,2021/06/22 05:21:12+00
Tamaulipas,24.2669,-98.8363,63234,0,5170,2021/06/22 05:21:12+00
Tlaxcala,19.3139,-98.2404,20111,0,2525,2021/06/22 05:21:12+00
Unknown,,,0,1974255,0,2021/06/22 05:21:12+00
Veracruz,19.1738,-96.1342,63701,0,10063,2021/06/22 05:21:12+00
Yucatan,20.7099,-89.0943,44434,0,4105,2021/06/22 05:21:12+00
Zacatecas,22.7709,-102.5832,30964,0,2832,2021/06/22 05:21:12+00
